"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-07","10.51",,"0.47","0.0","0.0","44","50","32","  290","  280","25.1","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-08","11.18",,"0.00","0.0","0.0","31","32","19","  330","  330","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-09","11.63",,"0.00","0.0","0.0","19","25","13","  320","  320","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-10","13.65",,"0.00","0.0","0.0","26","41","18","  200","  200","25.9","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-11","6.71",,"0.00","0.0","0.0","41","49","34","   20","   10","16.1","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-12","15.88",,"0.00","0.0","0.0","39","47","31","  300","  310","36.0","46.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-13","10.29",,"0.00","0.0","0.0","35","44","25","  250","  240","19.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-14","14.09",,"0.00","0.0","0.0","40","50","31","  320","  320","25.1","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-15","11.18",,"0.00","0.0","0.0","33","35","26","  330","  320","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-16","8.95",,"0.00","0.0","0.0","33","41","30","  130","   50","16.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-17","8.05",,"0.00","0.0","0.0","43","67","27","  200","  230","19.9","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-18","6.93",,"0.00","0.0","0.0","58","70","40","  220","  220","15.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-19","3.80",,"0.00","0.0","0.0","51","69","35","  100","  100","13.0","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-20","12.30",,"0.00","0.0","0.0","53","70","41","  160","  150","23.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-21","6.49",,"0.04","0.0","0.0","60","66","49","  200","  200","18.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-22","11.86",,"0.00","0.0","0.0","58","68","50","  190","  220","21.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-23","12.53",,"0.21","0.0","0.0","52","59","38","   30","   40","23.0","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-24","12.53",,"0.15","0.0","0.0","39","40","33","   30","   30","23.9","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-25","13.87",,"0.00","0.0","0.0","29","33","23","  310","  320","23.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-26","13.87",,"0.00","0.0","0.0","32","49","21","  200","  200","30.0","38.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-27","7.38",,"0.00","0.0","0.0","41","54","27","  200","  180","16.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-02-28","13.65",,"0.65","0.0","0.0","51","60","47","  190","  190","25.1","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-01","14.09",,"0.12","0.0","0.0","47","54","32","  300","  310","29.1","36.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-02","10.96",,"0.00","0.0","0.0","32","35","27","  280","  270","18.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-03","10.29",,"0.00","0.0","0.0","27","33","21","  320","  310","23.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-04","14.54",,"0.01","0.1","0.0","33","42","28","  120","  120","23.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-05","14.54",,"0.00","0.0","0.0","41","60","32","  200","  190","23.0","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-06","21.03",,"0.00","0.0","0.0","55","65","52","  190","  190","35.1","46.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-07","19.24",,"0.24","0.0","0.0","55","65","44","  250","  220","36.0","49.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-08","22.15",,"0.00","0.0","0.0","46","53","40","  270","  270","40.9","57.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-09","6.93",,"0.00","0.0","0.0","39","42","29","  340","  340","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-10","14.54",,"0.00","0.0","0.0","32","36","23","  350","  340","23.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-11","8.50",,"0.00","0.0","0.0","24","32","18","  340","   30","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-12","6.93",,"0.05","0.4","0.0","26","36","18","   80","  120","16.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-13","10.51",,"0.24","3.9","2.0","29","31","27","   30","   40","18.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-14","14.09",,"0.19","3.4","5.9","25","28","19","  340","  360","23.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-15","11.41",,"0.00","0.0","2.0","24","33","16","  310","  310","21.0","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-16","6.49",,"0.00","0.0","1.2","29","42","18","  220","  200","12.1","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-17","10.29",,"0.03","0.0","0.0","38","50","36","  290","  280","28.0","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-18","12.97",,"0.00","0.0","0.0","42","45","32","  290","  330","23.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-19","8.50",,"0.00","0.0","0.0","41","53","29","  190","  190","23.9","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-20","8.28",,"0.13","0.0","0.0","49","54","37","   20","   20","21.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-21","12.30",,"0.00","0.0","0.0","44","54","33","   30","   40","25.1","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-22","11.86",,"0.00","0.0","0.0","33","37","28","   30","   40","23.0","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-23","12.75",,"0.02","0.0","0.0","37","50","29","  170","  170","25.9","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-24","15.66",,"0.00","0.0","0.0","58","82","42","  240","  250","30.0","38.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-25","11.63",,"0.71","0.0","0.0","43","47","41","   40","   40","19.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-26","7.61",,"0.30","0.0","0.0","51","62","47","  230","  240","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-27","7.38",,"0.00","0.0","0.0","50","52","42","   50","   30","14.1","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-28","10.51",,"0.00","0.0","0.0","44","50","36","   10","   40","18.1","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-29","11.86",,"0.11","0.0","0.0","41","49","35","   60","   50","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-30","14.54",,"1.84","0.0","0.0","43","45","39","   50","  100","28.0","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-03-31","14.54",,"0.02","0.0","0.0","39","44","36","   10","   10","23.0","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-01","5.82",,"0.00","0.0","0.0","45","59","34","  100","  140","13.0","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-02","6.04",,"0.00","0.0","0.0","50","61","42","  140","  130","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-03","8.50",,"0.19","0.0","0.0","50","54","46","  310","  310","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-04","8.72",,"0.02","0.0","0.0","49","56","43","  340","  320","16.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-05","18.12",,"1.04","0.0","0.0","45","47","40","   20","   30","31.1","38.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-06","17.00",,"0.29","0.0","0.0","43","51","38","  360","   10","30.0","40.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-07","10.96",,"0.00","0.0","0.0","44","54","37","  350","  350","21.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-08","13.87",,"0.00","0.0","0.0","50","68","37","  170","  180","25.1","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-09","18.79",,"0.00","0.0","0.0","64","77","57","  190","  190","33.1","47.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-10","13.87",,"0.32","0.0","0.0","69","78","41","  200","  260","36.0","44.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-11","9.40",,"0.00","0.0","0.0","47","54","41","  300","  300","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-12","7.16",,"0.00","0.0","0.0","48","59","38","   80","   80","16.1","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-13","9.17",,"0.19","0.0","0.0","50","60","44","  100","   60","17.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-14","9.40",,"0.06","0.0","0.0","54","66","47","  160","  150","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-15","16.11",,"0.09","0.0","0.0","70","82","61","  270","  270","32.0","40.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-16","11.63",,"0.59","0.0","0.0","68","73","52","  290","  280","23.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-17","6.93",,"0.00","0.0","0.0","59","69","44","   50","   40","17.0","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-18","11.41",,"0.00","0.0","0.0","55","76","41","  190","  190","25.9","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-19","9.62",,"0.01","0.0","0.0","65","70","45","   60","   50","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-20","14.99",,"0.00","0.0","0.0","56","73","48","  260","  290","29.1","36.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-21","12.53",,"0.00","0.0","0.0","50","53","44","  300","   40","21.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-22","8.50",,"0.00","0.0","0.0","50","60","38","   30","   20","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-23","5.82",,"0.00","0.0","0.0","54","72","37","  100","  110","15.0","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-24","7.61",,"0.00","0.0","0.0","55","73","40","  130","  130","19.9","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-25","12.08",,"0.00","0.0","0.0","64","79","52","  150","  140","23.0","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-26","11.41",,"0.22","0.0","0.0","69","74","60","  180","  240","23.0","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-27","15.88",,"0.14","0.0","0.0","54","62","41","  240","  250","28.0","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-28","7.61",,"0.00","0.0","0.0","48","60","40","   40","   50","18.1","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-29","18.79",,"1.95","0.0","0.0","45","46","40","   50","   40","32.0","40.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-04-30","13.42",,"1.32","0.0","0.0","44","47","42","   20","   40","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-01","14.76",,"0.09","0.0","0.0","50","57","45","  230","  220","25.9","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-02","14.76",,"0.01","0.0","0.0","46","51","41","  260","  250","25.1","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-03","6.04",,"0.00","0.0","0.0","48","56","35","   40","   40","14.1","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-04","11.18",,"0.00","0.0","0.0","49","54","43","   40","   40","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-05","13.42",,"0.00","0.0","0.0","49","61","41","  360","   10","28.0","36.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-06","12.53",,"0.11","0.0","0.0","51","58","44","  360","  360","23.9","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-07","8.50",,"0.00","0.0","0.0","48","59","36","  330","  330","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-08","6.93",,"0.02","0.0","0.0","46","57","34","   60","   70","15.0","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-09","6.71",,"0.13","0.0","0.0","48","61","42","  110","  110","15.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-10","7.61",,"0.87","0.0","0.0","55","67","44","   30","   40","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-11","9.17",,"0.00","0.0","0.0","55","65","49","   30","   20","15.0","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-12","6.04",,"0.00","0.0","0.0","59","73","45","   40","  210","15.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-13","8.72",,"0.00","0.0","0.0","62","82","47","  250","  240","23.9","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-14","7.83",,"0.00","0.0","0.0","62","71","51","   30","   60","18.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2017-05-15","8.95",,"0.02","0.0","0.0","62","82","50","  310","  320","21.9","27.1"
