"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-07","7.61",,"0.00","0.0","14.2","29","41","18","  200","  230","16.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-08","9.84",,"0.01","0.0","9.1","36","39","25","   10","   10","23.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-09","12.30",,"0.00","0.0","5.9","26","27","19","   10","   10","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-10","7.83",,"0.00","0.0","5.9","25","33","14","  160","  150","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-11","13.42",,"0.00","0.0","5.9","31","35","18","  310","  290","23.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-12","12.97",,"0.00","0.0","5.9","16","18","8","  340","  350","28.0","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-13","10.51",,"0.00","0.0","5.1","11","26","5","  220","  220","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-14","19.46",,"0.00","0.2","5.1","19","27","1","  330","  340","38.0","48.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-15","9.17",,"0.03","0.2","5.1","4","15","-3","  330","  340","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-16","4.92",,"0.00","0.0","5.1","12","18","5","  280","  280","12.1","14.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-17","12.30",,"0.00","0.1","5.1","17","19","8","  290","  290","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-18","15.21",,"0.00","0.0","5.1","7","8","-3","  290","  290","25.9","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-19","11.41",,"0.00","0.0","5.1","-2","4","-8","  330","  310","23.0","27.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-20","13.20",,"0.01","0.2","5.1","3","18","-7","  170","  180","23.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-21","4.25",,"0.00","0.0","5.1","22","32","17","  200","  210","12.1","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-22","13.20",,"0.00","0.0","5.1","21","28","2","  330","  330","21.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-23","9.84",,"0.00","0.0","5.1","4","12","-4","  350","  340","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-24","15.88",,"0.01","0.1","5.1","11","29","4","  240","  240","25.9","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-25","7.83",,"0.17","2.0","5.1","21","26","10","   20","  330","15.0","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-26","12.53",,"0.17","3.7","9.8","17","19","0","   40","   20","19.9","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-27","8.28",,"0.00","0.0","9.8","6","14","-2","  260","  240","14.1","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-02-28","5.37",,"0.02","0.4","9.1","6","21","-10","  180","  180","13.0","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-01","6.93",,"0.00","0.0","9.1","18","25","10","  250","  290","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-02","7.38",,"0.00","0.0","7.9","21","33","13","  190","  280","15.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-03","13.42",,"0.13","0.7","9.1","28","34","24","  190","  280","23.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-04","13.42",,"0.00","0.0","7.9","24","31","10","  330","  300","23.0","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-05","9.62",,"0.00","0.0","7.1","12","16","3","  280","  310","16.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-06","13.20",,"0.00","0.0","7.1","12","27","0","  180","  200","23.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-07","10.51",,"0.00","0.0","7.1","32","44","24","  280","  280","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-08","6.71",,"0.00","0.0","3.9","35","40","28","  250","  250","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-09","6.26",,"0.00","0.0","3.9","37","50","25","  180","  200","14.1","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-10","6.71",,"0.00","0.0","0.0","40","51","35","  220","  200","14.1","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-11","6.26",,"0.00","0.0","0.0","42","51","30","   60","   60","16.1","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-12","8.50",,"0.00","0.0","0.0","42","56","28","  170","  170","18.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-13","5.82",,"0.00","0.0","0.0","47","65","37","  190","  190","13.0","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-14","12.30",,"0.00","0.0","0.0","51","60","37","  320","  310","25.9","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-15","10.29",,"0.00","0.0","0.0","45","62","29","  250","  220","23.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-16","12.75",,"0.00","0.0","0.0","58","73","42","   20","   10","30.0","38.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-17","14.09",,"0.00","0.0","0.0","45","45","28","   20","   20","30.0","40.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-18","4.70",,"0.00","0.0","0.0","37","50","28","  100","  100","14.1","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-19","7.83",,"0.00","0.0","0.0","42","46","37","  130","  130","21.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-20","8.95",,"0.00","0.0","0.0","42","50","38","  220","  210","18.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-21","10.29",,"0.00","0.0","0.0","42","49","32","  360","  360","21.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-22","10.96",,"0.02","0.2","0.0","32","35","26","   40","   60","18.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-23","10.74",,"0.61","5.6","2.0","29","31","28","  100","   60","17.0","27.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-24","11.41",,"0.04","0.0","5.1","30","37","19","  100","  130","21.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-25","11.18",,"0.25","0.0","2.0","37","41","35","  270","  260","21.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-26","11.18",,"0.00","0.0","0.0","37","42","31","  320","  290","17.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-27","11.86",,"0.04","0.6","1.2","29","31","21","   20","  350","23.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-28","7.16",,"0.00","0.0","0.0","27","36","20","   40","  120","15.0","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-29","15.21",,"0.01","0.0","0.0","32","47","24","  190","  180","30.0","36.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-30","10.74",,"0.00","0.0","0.0","46","61","34","  280","  220","21.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-03-31","8.50",,"0.00","0.0","0.0","49","58","39","  250","  250","23.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-01","11.41",,"0.00","0.0","0.0","52","72","35","  180","  180","28.0","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-02","11.18",,"0.36","0.0","0.0","58","65","50","  190","  190","23.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-03","10.51",,"0.00","0.0","0.0","50","53","30","   20","   20","21.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-04","11.41",,"0.00","0.0","0.0","40","58","28","  250","  250","29.1","36.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-05","9.84",,"0.00","0.0","0.0","53","66","36","  240","  240","21.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-06","6.71",,"0.04","0.0","0.0","45","62","34","   50","   20","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-07","13.87",,"0.00","0.0","0.0","40","46","38","  100","  100","21.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-08","8.95",,"0.05","0.0","0.0","44","50","40","   50","   50","17.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-09","13.87",,"1.41","0.0","0.0","51","71","41","  240","  260","33.1","46.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-10","17.22",,"0.00","0.0","0.0","53","62","39","  290","  250","35.1","46.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-11","7.61",,"0.00","0.0","0.0","48","62","38","  240","  250","16.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-12","10.74",,"0.00","0.0","0.0","55","68","41","  180","  190","23.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-13","12.53",,"0.22","0.0","0.0","60","65","49","  300","  330","25.1","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2015-04-14","4.92",,"0.00","0.0","0.0","56","66","39","   80","  120","12.1","16.1"
