"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-01","14.32",,"0.00","0.0","1.0","23","31","19","  260","  250","21.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-02","12.08",,"0.00","0.0","1.2","27","32","20","  260","  230","23.0","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-03","11.63",,"0.00","0.0","1.2","27","29","22","  340","  340","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-04","10.07",,"0.00","0.0","1.2","27","31","22","  340","  350","19.9","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-05","10.07",,"0.00","0.0","1.2","26","33","17","  210","  200","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-06","8.72",,"0.00","0.0","1.2","28","36","21","  200","  200","16.1","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-07","7.38",,"0.01","0.0","1.2","36","41","34","  140","  120","13.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-08","6.49",,"0.19","0.0","0.0","38","42","36","  130","  120","10.1","12.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-09","9.84",,"0.27","1.7","0.0","37","40","23","  330","  330","25.9","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-10","17.67",,"0.00","0.0","1.2","19","23","2","  330","  330","28.0","36.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-11","9.62",,"0.11","3.1","1.2","5","24","-1","  250","  240","25.9","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-12","16.33",,"0.01","0.1","3.1","14","20","3","  310","  280","25.9","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-13","9.40",,"0.00","0.1","3.1","7","25","-2","  220","  200","18.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-14","10.51",,"0.00","0.0","2.0","31","44","24","  190","  200","21.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-15","13.42",,"0.01","0.0","0.0","40","43","30","  340","  210","23.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-16","13.87",,"0.00","0.0","0.0","28","30","9","  290","  290","25.1","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-17","16.11",,"0.00","0.0","0.0","8","8","-1","  300","  300","23.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-18","14.09",,"0.00","0.0","0.0","1","7","-4","  300","  290","19.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-19","5.82",,"0.00","0.0","0.0","6","17","0","  300","  300","15.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-20","3.58",,"0.05","0.9","0.0","17","23","12","  250","  260","8.9","11.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-21","3.13",,"0.00","0.0","0.0","19","29","9","   70","   40","8.1","12.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-22","10.51",,"0.02","0.4","0.0","24","30","19","   50","   40","17.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-23","6.26",,"0.00","0.0","0.0","28","33","20","  340","  320","14.1","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-24","8.50",,"0.00","0.0","0.0","27","34","24","  210","  200","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-25","10.29",,"0.13","0.0","0.0","31","41","24","  250","  250","25.1","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-26","16.55",,"0.02","0.0","0.0","33","36","24","  270","  260","28.0","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-27","13.20",,"0.00","0.0","0.0","28","34","23","  210","  220","29.1","38.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-28","15.21",,"0.00","0.0","0.0","34","39","29","  340","  340","21.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-29","10.51",,"0.00","0.0","0.0","28","35","20","  190","  200","23.0","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-30","8.50",,"0.00","0.0","0.0","38","46","35","  190","  190","19.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-01-31","8.50",,"0.02","0.0","0.0","42","48","33","  290","  280","18.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-01","4.92",,"0.00","0.0","0.0","36","45","30","  280","   50","10.1","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-02","11.41",,"0.79","0.0","0.0","35","38","32","  100","  100","33.1","40.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-03","13.42",,"0.02","0.0","0.0","36","37","28","  280","  240","23.0","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-04","9.40",,"0.00","0.0","0.0","27","32","19","  280","  290","16.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-05","6.71",,"0.00","0.0","0.0","29","34","25","  330","  320","17.0","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-06","8.50",,"0.00","0.0","0.0","31","41","24","  250","  260","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-07","12.97",,"0.00","0.0","0.0","38","43","32","  250","  250","21.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-08","11.18",,"0.02","0.4","0.0","31","32","20","  320","  280","19.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-09","14.54",,"0.02","0.6","1.2","19","21","13","  320","  330","19.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-10","11.41",,"0.00","0.0","1.2","14","18","9","  320","  320","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-11","7.16",,"0.00","0.0","0.0","13","21","7","  340","  340","15.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-12","17.00",,"0.00","0.0","0.0","19","23","7","  320","  320","30.0","36.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-13","8.95",,"0.00","0.0","0.0","9","17","2","  330","  340","21.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-14","11.86",,"0.10","2.3","0.0","14","18","9","  130","  110","21.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-15","6.71",,"0.01","0.1","2.0","21","27","18","  260","  240","12.1","14.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-16","4.70",,"0.04","0.4","2.0","27","33","24","  300","  360","14.1","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2016-02-17","6.49",,"0.00","0.0","1.2","28","34","21","   50","  360","13.0","15.0"
